item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
1,en2ha-c4b1ce297e,en->ha,phone,Call me on 08031234567 when you arrive.,Kira da ni a kan 08031234567 a lokacin da ka zo.,,,,,,,,,,
2,en2ha-975f84b293,en->ha,broadcast,"Good morning everyone, and welcome to this broadcast.","Assalamu alaikum da fatan alheri ga dukkanku, da kuma maraba da zuwa ga wannan shirin.",,,,,,,,,,
3,en2ha-f65774c7e3,en->ha,negation,I did not say that I would not come.,"Ban faɗa muku ba, cẽwa bã zan zo ba.""",,,,,,,,,,
4,en2ha-f6389e051f,en->ha,otp,Your verification code is 483920. Do not share it.,Your daidaitaccen code is 483920. Don Allah ba sa shi.,,,,,,,,,,
5,en2ha-da420a5c6e,en->ha,money,The price is two thousand naira per bag.,Farashin shi ne naira dubu biyu ga kowace jakar.,,,,,,,,,,
6,en2ha-a2c795463f,en->ha,money,"Please send 45,000 naira to my account today.","Yadda za a sauke 45,000 naira a kan asusunku a yau.",,,,,,,,,,
7,en2ha-da420a5c6e,en->ha,money,The price is two thousand naira per bag.,The price is two thousand naira a kowace tas.,,,,,,,,,,
8,en2ha-251e5c0414,en->ha,account,Transfer to account 0123456789 at First Bank.,Shigar da asusun 0123456789 a First Bank.,,,,,,,,,,
9,en2ha-33008a690d,en->ha,entity,My name is Zoe and I work in Lagos.,Sunana Zoe kuma ina aiki a Lagos.,,,,,,,,,,
10,en2ha-f6389e051f,en->ha,otp,Your verification code is 483920. Do not share it.,Lambarka ta tabbatarwa ita ce 483920. Kada ka raba ta.,,,,,,,,,,
11,en2ha-65dd17f8eb,en->ha,negation,Do not send the payment yet.,Kada ka ba da kudi a yanzu.,,,,,,,,,,
12,en2ha-4b6d9c5eed,en->ha,conversation,How are you doing this evening?,Me kake yi yau dare?,,,,,,,,,,
13,en2ha-251e5c0414,en->ha,account,Transfer to account 0123456789 at First Bank.,Sauke kafin 0123456789 a First Bank.,,,,,,,,,,
14,en2ha-547d60bd43,en->ha,multi,I am on my way. Please wait for me at the gate. I will be there soon.,"Inã a kan hanya. To, ku yi jira a wurin ƙofa. Zan je nan da sannu.",,,,,,,,,,
15,en2ha-4b6d9c5eed,en->ha,conversation,How are you doing this evening?,Yaya za ku yi aiki a yau?,,,,,,,,,,
16,en2ha-33008a690d,en->ha,entity,My name is Zoe and I work in Lagos.,My name is Zoe kuma na aiki a Lagos.,,,,,,,,,,
17,en2ha-9713402736,en->ha,health,Do not give this medicine to a child under five years old.,Kada ka ba da wannan magani a cikin mutane da suka wuce da shekaru 5.,,,,,,,,,,
18,en2ha-975f84b293,en->ha,broadcast,"Good morning everyone, and welcome to this broadcast.","Good morning, da kuma kyau a cikin wannan broadcast.",,,,,,,,,,
19,en2ha-65dd17f8eb,en->ha,negation,Do not send the payment yet.,Kada ka aika da biyan har yanzu.,,,,,,,,,,
20,en2ha-547d60bd43,en->ha,multi,I am on my way. Please wait for me at the gate. I will be there soon.,Ina tafiya. Please wait for me at the gate. I'll be there soon.,,,,,,,,,,
21,en2ha-c4b1ce297e,en->ha,phone,Call me on 08031234567 when you arrive.,Ka kira ni a kan 08031234567 idan ka isa.,,,,,,,,,,
22,en2ha-cd54fc4949,en->ha,money,I have not received the money you sent.,Ba ni da kudin da kuka aiko mini da shi.,,,,,,,,,,
23,en2ha-9713402736,en->ha,health,Do not give this medicine to a child under five years old.,Kada ka ba da wannan magani ga wani yaro wanda bai kai shekara biyar ba.,,,,,,,,,,
24,en2ha-cd54fc4949,en->ha,money,I have not received the money you sent.,Ina ba da kudi da kudi da ka saita.,,,,,,,,,,
25,en2ha-f5cf3e80e0,en->ha,datetime,The meeting has been moved to 15 March at 4:30.,An mayar da taron zuwa ranar 15 ga watan Maris da karfe 4:30 na yamma.,,,,,,,,,,
26,en2ha-0736925102,en->ha,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Thanks for your message. Na kwatanta da kaya da kayayyakin za a samu a ranar Almasihu. Don Allah tabbatar da wani mutum a cikin masana'antu don samun su, kuma kira ni idan akwai wani matsaloli tare da samfurin.",,,,,,,,,,
27,en2ha-f65774c7e3,en->ha,negation,I did not say that I would not come.,Na ba ya ce cewa ba za a yi.,,,,,,,,,,
28,en2ha-a2c795463f,en->ha,money,"Please send 45,000 naira to my account today.","Don Allah ku tura naira 45,000 zuwa asusuna yau.",,,,,,,,,,
29,en2ha-0736925102,en->ha,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Na gode da sakon ku. Na yi magana da mai samarwa kuma kayayyakin za su isa ranar Juma'a da safe. Don Allah ku tabbatar da cewa akwai wani a shagon don karɓar su, kuma ku kira ni idan akwai wata matsala game da isar da su.",,,,,,,,,,
30,en2ha-f5cf3e80e0,en->ha,datetime,The meeting has been moved to 15 March at 4:30.,Yanar gizo ya saita zuwa 15 Maris a 4:30.,,,,,,,,,,
