item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
1,yo2en-e3cd021a9f,yo->en,otp,Ọ̀ọ́dúnrún ó lé ọgọ́rùn - ún mẹ́ta [43920] ni ọ̀rọ̀ tó o kọ sílẹ̀ jẹ́ ká mọ̀ pé òótọ́ lọ̀rọ̀ náà.,Your written words prove that they are true.,,,,,,,,,,
2,yo2en-60cb0e1fec,yo->en,multi,"Mo ń bá ọ̀nà mi lọ; jọ̀wọ́ dúró dè mí ní ẹnubodè, èmi yóò sì wà níbẹ̀ láìpẹ́.","I am going my way; please wait for me in the gate, and I shall soon be there.",,,,,,,,,,
3,en2yo-f3eb0ba758,en->yo,money,I have not received the money you sent.,Èmi kò rí owó tẹ́ ẹ fi ránṣẹ́ gbà.,,,,,,,,,,
4,yo2en-c7561a4be2,yo->en,health,Má ṣe fún ọmọ tí kò tíì pé ọmọ ọdún márùn - ún ní oògùn yìí.,Do not give this medication to a 5 - year - old child.,,,,,,,,,,
5,yo2en-16139730b7,yo->en,money,Wọ́n máa ń ná ẹgbẹ̀rún méjì naira nínú àpò kọ̀ọ̀kan.,"Each bag cost 2,000 tons.",,,,,,,,,,
6,en2yo-e4ece6befd,en->yo,money,"Please send 45,000 naira to my account today.","Jọ̀wọ́ fi ẹgbẹ̀rún márùndínlógójì [45,000] naira ránṣẹ́ sí mi lónìí.",,,,,,,,,,
7,en2yo-819f078f4f,en->yo,account,Transfer to account 0123456789 at First Bank.,Owo owo ni 0123456789 ni First Bank.,,,,,,,,,,
8,yo2en-72f01d29be,yo->en,datetime,A ti gbé ìpàdé náà lọ sí 15 March ní 4:30.,The meeting had been taken to March 15 at 4: 55.,,,,,,,,,,
9,en2yo-f3eb0ba758,en->yo,money,I have not received the money you sent.,Mo ti ko gba awọn owo ti o fi fun mi.,,,,,,,,,,
10,yo2en-accfe42149,yo->en,entity,"Zoe lorúkọ mi, èmi sì ń ṣiṣẹ́ ní Èkó.","My name was Ian, and I worked in Smyrna.",,,,,,,,,,
11,en2yo-ae11cf08f2,en->yo,health,Do not give this medicine to a child under five years old.,Ti o ba ko fi ọgbin yii si ọpọlọpọ awọn ọmọde diẹ sii ju 5 ọdun.,,,,,,,,,,
12,en2yo-dd951cb3bf,en->yo,conversation,How are you doing this evening?,Ti o ba tẹsiwaju ti o ba tẹsiwaju?,,,,,,,,,,
13,yo2en-6abfddb784,yo->en,health,Ti o ba ko fi ọgbin yii si ọpọlọpọ awọn ọmọde diẹ sii ju 5 ọdun.,If you do not give this medicine to many children over 5 years.,,,,,,,,,,
14,en2yo-4bd30069c7,en->yo,entity,My name is Zoe and I work in Lagos.,Mo wa ni Zoe ati Mo ṣiṣẹ ni Lagos.,,,,,,,,,,
15,yo2en-2e5ac6e00c,yo->en,phone,Tẹ mi nipa 08031234567 nigba ti o ba wa.,Click me by 08031234567 when you are.,,,,,,,,,,
16,en2yo-272dee2d08,en->yo,negation,I did not say that I would not come.,Mo ti ko fi wipe mo ko lọ.,,,,,,,,,,
17,yo2en-1ce19912ca,yo->en,negation,Ti o ba tẹsiwaju pe o ko fi awọn owo ṣaaju ki o tobi.,If you continue that you do not add the price before big.,,,,,,,,,,
18,en2yo-4fd5b0dd3c,en->yo,broadcast,"Good morning everyone, and welcome to this broadcast.","Ẹ káàbọ̀ láàárọ̀, kẹ́ ẹ sì gba ìròyìn náà tọwọ́tẹsẹ̀.",,,,,,,,,,
