item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
1,en2yo-504a016629,en->yo,phone,Call me on 08031234567 when you arrive.,Tẹ mi nipa 08031234567 nigba ti o ba wa.,,,,,,,,,,
2,en2yo-4fd5b0dd3c,en->yo,broadcast,"Good morning everyone, and welcome to this broadcast.","Ẹ káàbọ̀ láàárọ̀, kẹ́ ẹ sì gba ìròyìn náà tọwọ́tẹsẹ̀.",,,,,,,,,,
3,en2yo-272dee2d08,en->yo,negation,I did not say that I would not come.,Mi ò sọ pé mi ò ní wá.,,,,,,,,,,
4,en2yo-8610dec7f2,en->yo,otp,Your verification code is 483920. Do not share it.,Ọrọìwòye rẹ jẹ 483920. Ko fi o.,,,,,,,,,,
5,en2yo-af58a581ca,en->yo,money,The price is two thousand naira per bag.,Wọ́n máa ń ná ẹgbẹ̀rún méjì naira nínú àpò kọ̀ọ̀kan.,,,,,,,,,,
6,en2yo-e4ece6befd,en->yo,money,"Please send 45,000 naira to my account today.","Tẹle 45,000 naira si iroyin mi loni.",,,,,,,,,,
7,en2yo-af58a581ca,en->yo,money,The price is two thousand naira per bag.,Awọn owo ti o wa ni 2 000 naira fun ọkan.,,,,,,,,,,
8,en2yo-819f078f4f,en->yo,account,Transfer to account 0123456789 at First Bank.,Báńkì Kìíní ni wọ́n kó o lọ sí 01234567.89.,,,,,,,,,,
9,en2yo-4bd30069c7,en->yo,entity,My name is Zoe and I work in Lagos.,"Zoe lorúkọ mi, èmi sì ń ṣiṣẹ́ ní Èkó.",,,,,,,,,,
10,en2yo-8610dec7f2,en->yo,otp,Your verification code is 483920. Do not share it.,Ọ̀ọ́dúnrún ó lé ọgọ́rùn - ún mẹ́ta [43920] ni ọ̀rọ̀ tó o kọ sílẹ̀ jẹ́ ká mọ̀ pé òótọ́ lọ̀rọ̀ náà.,,,,,,,,,,
11,en2yo-c810bed69f,en->yo,negation,Do not send the payment yet.,Ti o ba tẹsiwaju pe o ko fi awọn owo ṣaaju ki o tobi.,,,,,,,,,,
12,en2yo-dd951cb3bf,en->yo,conversation,How are you doing this evening?,Báwo lo ṣe ń ṣe lálẹ́ yìí?,,,,,,,,,,
13,en2yo-819f078f4f,en->yo,account,Transfer to account 0123456789 at First Bank.,Owo owo ni 0123456789 ni First Bank.,,,,,,,,,,
14,en2yo-ba2a4fb203,en->yo,multi,I am on my way. Please wait for me at the gate. I will be there soon.,"Mo ń bá ọ̀nà mi lọ; jọ̀wọ́ dúró dè mí ní ẹnubodè, èmi yóò sì wà níbẹ̀ láìpẹ́.",,,,,,,,,,
15,en2yo-dd951cb3bf,en->yo,conversation,How are you doing this evening?,Ti o ba tẹsiwaju ti o ba tẹsiwaju?,,,,,,,,,,
16,en2yo-4bd30069c7,en->yo,entity,My name is Zoe and I work in Lagos.,Mo wa ni Zoe ati Mo ṣiṣẹ ni Lagos.,,,,,,,,,,
