item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
1,ha2en-736d39d815,ha->en,money,"Yadda za a sauke 45,000 naira a kan asusunku a yau.","How to download 45,000 units on your account today.",,,,,,,,,,
2,ha2en-187f8d0e16,ha->en,multi,Sa'an nan kuma lalle Mũ ne Mafi sani ga waɗanda suke sũ ne mafiya cancantar ƙõnuwa da ita.,We know best who deserves most to be burned therein.,,,,,,,,,,
3,en2ha-68d3e993d5,en->ha,money,"Your balance is 12,500 naira.","Yadda za a yi amfani da 12,500 naira.",,,,,,,,,,
4,ha2en-95f9de6221,ha->en,money,Na samu kuɗin da ka aiko mini.,I received the money you sent me.,,,,,,,,,,
5,en2ha-3c6049733e,en->ha,agriculture,"The rains will start next month, so prepare the land now.","Za a soma ruwan sama bayan wata guda, saboda haka, za a shirya ƙasar yanzu.",,,,,,,,,,
6,ha2en-183be072fc,ha->en,emoji-only,keyboard- key- name,Esc,,,,,,,,,,
7,en2ha-c3d8b39e89,en->ha,number-only,45000,45000,,,,,,,,,,
8,ha2en-9cba23d0a2,ha->en,health,Yana da wani tablet biyu a rana bayan abinci.,It is one tablet two times a day after a meal.,,,,,,,,,,
9,en2ha-23bc91d748,en->ha,mixed,Abeg send the money before 5pm 🙏,Abeg ya ba da kudi kafin 5pm 🙏,,,,,,,,,,
10,ha2en-b886cef68f,ha->en,conversation,Don me Ka wajabta yãƙi a kaina?,Why have You ordained fighting for me?,,,,,,,,,,
11,en2ha-f5cf3e80e0,en->ha,datetime,The meeting has been moved to 15 March at 4:30.,Yanar gizo ya saita zuwa 15 Maris a 4:30.,,,,,,,,,,
12,ha2en-f4f3ba6461,ha->en,money,Yanayinka goma sha biyu ne.,IT WAS 12 years old.,,,,,,,,,,
13,en2ha-7bb06a68a2,en->ha,entity,Adebayo travelled from Abeokuta to Kano last night.,Da Ãdãwa suka yi tafiya daga garin Arano zuwa Kano dare da rana.,,,,,,,,,,
14,en2ha-33008a690d,en->ha,entity,My name is Zoe and I work in Lagos.,My name is Zoe kuma na aiki a Lagos.,,,,,,,,,,
15,en2ha-33008a690d,en->ha,entity,My name is Zoe and I work in Lagos.,Sunana shi ne Abababa kuma ina aiki a yaren kurame.,,,,,,,,,,
16,ha2en-e8da3d1a67,ha->en,multi,"Ina kan hanya, ina jirana a ƙofa, sai in isa wajen nan da nan.","I was on my way, waiting at my door, and I immediately arrived there.",,,,,,,,,,
17,ha2en-50c8bf4659,ha->en,code-only,@ item Text character set,Western European,,,,,,,,,,
18,ha2en-c8633a240e,ha->en,account,Sauke kafin 0123456789 a First Bank.,Download before 0123456789 in First Bank.,,,,,,,,,,
19,en2ha-97bf32dbdd,en->ha,datetime,The event starts at four thirty on the fifteenth of March.,Abin da ya faru ya soma ne bayan ƙarfe huɗu na watan Maris.,,,,,,,,,,
20,ha2en-8f71a23896,ha->en,conversation,Za mu rubuta adireshin kafin ka fara.,We will write your address before you start.,,,,,,,,,,
21,ha2en-423e36adf0,ha->en,health,Kada ka ba da wannan magani a cikin mutane da suka wuce da shekaru 5.,Do not give this treatment to people over 5 years of age.,,,,,,,,,,
22,en2ha-6a0a9078bc,en->ha,blank,,,,,,,,,,,,
23,en2ha-90105c4079,en->ha,health,Take one tablet twice a day after eating.,"Sũ zuwa ga kãfirci a rãnar nan, sun fi kusa daga gare su zuwa ga ĩmãni.",,,,,,,,,,
24,en2ha-68d3e993d5,en->ha,money,"Your balance is 12,500 naira.",Yanayinka goma sha biyu ne.,,,,,,,,,,
25,en2ha-96c59bc2be,en->ha,hashtag,Join us tonight #VideofyLive for the broadcast.,Ka shirya mana yadda za mu halarci taron.,,,,,,,,,,
26,ha2en-f4f98fd30c,ha->en,account,Mun yi bincike a kan shekara ta 0 daga shekara ta 3 kaina zuwa fiye da hakan.,We studied about 0 from 33 C.E. to more than that.,,,,,,,,,,
27,ha2en-0cbf99f97b,ha->en,mixed,Wani ɗan sanda ya aika kuɗin kafin ya kai kuɗin.,A police officer sent the money before taking the money.,,,,,,,,,,
28,ha2en-35ff61b8a0,ha->en,money,Na samu kudi da ka saita.,I got the money you put in.,,,,,,,,,,
29,ha2en-dd6e8f32d9,ha->en,url,Read more a https://consummate7.com/help kafin ka so.,Read more at https://consummate7.com/help before you want.,,,,,,,,,,
30,en2ha-97bf32dbdd,en->ha,datetime,The event starts at four thirty on the fifteenth of March.,The event ya fara a four thirty a kan 15th na Maris.,,,,,,,,,,
31,ha2en-3620ae5184,ha->en,negation,Ba ta isa ofishin Shaidun Jehobah ba.,She did not reach the branch office of Jehovah's Witnesses.,,,,,,,,,,
32,en2ha-8ad830f1a5,en->ha,url,Read more at https://consummate7.com/help before you call.,Read more a https://consummate7.com/help kafin ka so.,,,,,,,,,,
33,ha2en-ada8637c10,ha->en,phone,Kira da ni a kan 08031234567 a lokacin da ka zo.,Call me on 08031234567 when you arrive.,,,,,,,,,,
34,en2ha-0736925102,en->ha,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Thanks for your message. Na kwatanta da kaya da kayayyakin za a samu a ranar Almasihu. Don Allah tabbatar da wani mutum a cikin masana'antu don samun su, kuma kira ni idan akwai wani matsaloli tare da samfurin.",,,,,,,,,,
35,ha2en-a34336a6bd,ha->en,money,"To, abin da yake misãlinsa, kamar falalen dũtse ne, a kansa akwai turɓãya, sai wãbilin hadari ya sãme shi, sai ya bar shi ƙanƙara.","The likeness of him is as the likeness of a smooth rock upon which is dust, and a heavy rain smites it, leaving it bare.",,,,,,,,,,
36,ha2en-c97c91dffa,ha->en,entity,My name is Zoe kuma na aiki a Lagos.,My name is Zoe and I work in Lagos.,,,,,,,,,,
37,en2ha-c9f3d1aa1f,en->ha,punctuation,???!!!,,,,,,,,,,,
38,ha2en-2b2d64f0a4,ha->en,money,The price is two thousand naira a kowace tas.,The price is two thousand yen per bag.,,,,,,,,,,
39,en2ha-da420a5c6e,en->ha,money,The price is two thousand naira per bag.,"To, abin da yake misãlinsa, kamar falalen dũtse ne, a kansa akwai turɓãya, sai wãbilin hadari ya sãme shi, sai ya bar shi ƙanƙara.",,,,,,,,,,
40,en2ha-0a24e1e8a5,en->ha,emoji-text,Congratulations on the new baby 🎉 we are very happy for you.,Mafi kyau a cikin sabon baby  mu ne mai kyau ga ku.,,,,,,,,,,
41,ha2en-513a314fc2,ha->en,business,Muna bukatar mu yi yarjejeniya kafin ƙarshen wata.,"Before the end of the month, we had to make a written agreement.",,,,,,,,,,
42,en2ha-a2c795463f,en->ha,money,"Please send 45,000 naira to my account today.","Yadda za a sauke 45,000 naira a kan asusunku a yau.",,,,,,,,,,
43,ha2en-1c1ba46e74,ha->en,negation,"Kuma kada ku ƙõsa ga rubũta shi, ƙarami ya kasance kõ babba, zuwa ajalinsa.","Do not refuse to write it down whether it be small or large, until its term.",,,,,,,,,,
44,ha2en-943c142530,ha->en,money,Ban karɓi kuɗin da ka aiko mini ba.,I did not accept the money you sent to me.,,,,,,,,,,
45,ha2en-bee385928c,ha->en,code-only,Kasa-483920,Page-483920,,,,,,,,,,
46,en2ha-11d4af44a5,en->ha,money,I have received the money you sent.,Na samu kuɗin da ka aiko mini.,,,,,,,,,,
47,ha2en-ceebec6b4f,ha->en,datetime,Yanar gizo ya saita zuwa 15 Maris a 4:30.,The website is scheduled to 15 March at 4:30.,,,,,,,,,,
48,ha2en-514e2dc875,ha->en,multi,Ina tafiya. Please wait for me at the gate. I'll be there soon.,I travel. Please wait for me at the gate. I'll be there soon.,,,,,,,,,,
49,ha2en-12571d0177,ha->en,entity,Sunana shi ne Abababa kuma ina aiki a yaren kurame.,My name is to give birth and to work in sign language.,,,,,,,,,,
50,en2ha-23bc91d748,en->ha,mixed,Abeg send the money before 5pm 🙏,Wani ɗan sanda ya aika kuɗin kafin ya kai kuɗin.,,,,,,,,,,
51,en2ha-f65774c7e3,en->ha,negation,I did not say that I would not come.,Na ba ya ce cewa ba za a yi.,,,,,,,,,,
52,ha2en-863faec0eb,ha->en,punctuation,,,,,,,,,,,,
53,ha2en-08d7cd929d,ha->en,emoji-text,Mafi kyau a cikin sabon baby  mu ne mai kyau ga ku.,Best in the new baby we are good for you.,,,,,,,,,,
54,ha2en-a8510447f0,ha->en,agriculture,"Za a soma ruwan sama bayan wata guda, saboda haka, za a shirya ƙasar yanzu.","After a month of rain, the earth would be organized.",,,,,,,,,,
55,en2ha-a2c795463f,en->ha,money,"Please send 45,000 naira to my account today.","Don Allah ka aiko mini da ' yan'uwa guda 4 kaina a yau, sai ka aika mini littafin nan ""Ku Tsare Kanku Cikin Ƙaunar Allah! """,,,,,,,,,,
56,en2ha-c9f3d1aa1f,en->ha,punctuation,???!!!,???,,,,,,,,,,
57,ha2en-82d01e537e,ha->en,emoji-only,👍👍,👍👍,,,,,,,,,,
58,en2ha-90105c4079,en->ha,health,Take one tablet twice a day after eating.,Yana da wani tablet biyu a rana bayan abinci.,,,,,,,,,,
59,ha2en-852656af03,ha->en,phone,Ka yi mini kira a kan shekara ta fiye da haka sa'ad da ka isa wurin.,Ask me over the next year when you arrive there.,,,,,,,,,,
60,ha2en-86cad82450,ha->en,blank,,,,,,,,,,,,
61,ha2en-852206f5f7,ha->en,hashtag,Ka shirya mana yadda za mu halarci taron.,Prepare for us how to attend.,,,,,,,,,,
62,en2ha-f6389e051f,en->ha,otp,Your verification code is 483920. Do not share it.,Your daidaitaccen code is 483920. Don Allah ba sa shi.,,,,,,,,,,
63,en2ha-7bb06a68a2,en->ha,entity,Adebayo travelled from Abeokuta to Kano last night.,Adebayo ya tafiya daga Abeokuta zuwa Kano yamma.,,,,,,,,,,
64,ha2en-2fa3585de2,ha->en,otp,Ka kafa tsarin da za ka bi don ka yi amfani da shi a matsayin wanda kake son ka yi amfani da shi.,Set a routine that you can follow to use as the one you want to use.,,,,,,,,,,
65,ha2en-87463dd307,ha->en,broadcast,"Good morning, da kuma kyau a cikin wannan broadcast.","Good morning, and good on this broadcast.",,,,,,,,,,
66,en2ha-4b6d9c5eed,en->ha,conversation,How are you doing this evening?,Yaya za ku yi aiki a yau?,,,,,,,,,,
67,en2ha-0736925102,en->ha,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Na yi maka bayani mai daɗi game da abin da kake faɗa kuma ina samun kuɗi sosai a ranar Jumma'a. Don Allah ka tabbata cewa ka je ka sauke karatu, kuma ka kira ni da duk wata matsala da za ka fuskanta.",,,,,,,,,,
68,ha2en-0f7bc6264a,ha->en,business,Ya kamata mu shigar da al'ada kafin watan.,We should install the custom before the month.,,,,,,,,,,
