item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
1,yo2en-3e2b9e85b7,yo->en,money,"Tẹle 45,000 naira si iroyin mi loni.","Get 45,000 rewards to my account today.",,,,,,,,,,
2,yo2en-5ba9114b13,yo->en,multi,"A ti dá ìpàdé náà dúró, kàkà bẹ́ẹ̀ a óò pàdé lọ́la.","The meeting has been stopped, but we will meet tomorrow.",,,,,,,,,,
3,en2yo-ba89a84eb1,en->yo,money,"Your balance is 12,500 naira.","Owo-owo rẹ jẹ 12,500 naira.",,,,,,,,,,
4,yo2en-587e0d60e9,yo->en,money,Mo ti gba owó tí ẹ fi ránṣẹ́ sí mi.,I have received the money you sent to me.,,,,,,,,,,
5,en2yo-cbbbdae6cd,en->yo,agriculture,"The rains will start next month, so prepare the land now.","Òjò yóò bẹ̀rẹ̀ sí rọ̀ lóṣù tó ń bọ̀, nítorí náà múra ilẹ̀ náà sílẹ̀ nísinsìnyí.",,,,,,,,,,
6,yo2en-fd6c6cee6d,yo->en,emoji-only,Ş,Jehovah's Witnesses,,,,,,,,,,
7,en2yo-adebe026b0,en->yo,number-only,45000,45000 ọdun,,,,,,,,,,
8,yo2en-0135d71234,yo->en,health,Ṣatunkọ ọpọlọpọ 2 ọdun lẹhin ọjọ lẹhin ounje.,2 months after meals.,,,,,,,,,,
9,en2yo-32be320c6d,en->yo,mixed,Abeg send the money before 5pm 🙏,Abeg fi owo ṣaaju ki o to 5pm 🙏,,,,,,,,,,
10,yo2en-ba9257cb15,yo->en,conversation,Jọ̀wọ́ fi àdírẹ́sì náà ránṣẹ́ sí mi kó o tó lọ.,Please send me the address before you leave.,,,,,,,,,,
11,en2yo-a7c08ed29d,en->yo,datetime,The meeting has been moved to 15 March at 4:30.,Ọrọìwòye ti a ti tẹsiwaju si 15 March ni 4:30.,,,,,,,,,,
12,yo2en-9c29e549b9,yo->en,money,"Ẹgbẹ̀rún méjìlá, ọgọ́rùn - ún márùn - ún ó lé ọgọ́rùn - ún [12,500] naira ni ẹ fi wà ní ìwọ̀ntúnwọ̀nsì.",A total of 12 thousand people are balanced.,,,,,,,,,,
13,en2yo-b38833993b,en->yo,entity,Adebayo travelled from Abeokuta to Kano last night.,Adebaya rìnrìn àjò láti Abeokuta lọ sí Kano lálẹ́ ọjọ́ tó kọjá.,,,,,,,,,,
14,en2yo-4bd30069c7,en->yo,entity,My name is Zoe and I work in Lagos.,Mo wa ni Zoe ati Mo ṣiṣẹ ni Lagos.,,,,,,,,,,
