item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
1,ha2en-2fa3585de2,ha->en,otp,Ka kafa tsarin da za ka bi don ka yi amfani da shi a matsayin wanda kake son ka yi amfani da shi.,Set a routine that you can follow to use as the one you want to use.,,,,,,,,,,
2,ha2en-e8da3d1a67,ha->en,multi,"Ina kan hanya, ina jirana a ƙofa, sai in isa wajen nan da nan.","I was on my way, waiting at my door, and I immediately arrived there.",,,,,,,,,,
3,en2ha-cd54fc4949,en->ha,money,I have not received the money you sent.,Ban karɓi kuɗin da ka aiko mini ba.,,,,,,,,,,
4,ha2en-d9dc5a0ab6,ha->en,health,Kada ka ba yaro magani sa'ad da yake ɗan shekara biyar.,Do not give birth to a child when he is five years old.,,,,,,,,,,
5,ha2en-a34336a6bd,ha->en,money,"To, abin da yake misãlinsa, kamar falalen dũtse ne, a kansa akwai turɓãya, sai wãbilin hadari ya sãme shi, sai ya bar shi ƙanƙara.","The likeness of him is as the likeness of a smooth rock upon which is dust, and a heavy rain smites it, leaving it bare.",,,,,,,,,,
6,en2ha-a2c795463f,en->ha,money,"Please send 45,000 naira to my account today.","Don Allah ka aiko mini da ' yan'uwa guda 4 kaina a yau, sai ka aika mini littafin nan ""Ku Tsare Kanku Cikin Ƙaunar Allah! """,,,,,,,,,,
7,en2ha-251e5c0414,en->ha,account,Transfer to account 0123456789 at First Bank.,Sauke kafin 0123456789 a First Bank.,,,,,,,,,,
8,ha2en-f159220d99,ha->en,datetime,"An yi taron a ranar 15 ga Maris a watan Maris, 4 ga Maris.","The assembly was held on March 15, March 4, March.",,,,,,,,,,
9,en2ha-cd54fc4949,en->ha,money,I have not received the money you sent.,Ina ba da kudi da kudi da ka saita.,,,,,,,,,,
10,ha2en-12571d0177,ha->en,entity,Sunana shi ne Abababa kuma ina aiki a yaren kurame.,My name is to give birth and to work in sign language.,,,,,,,,,,
11,en2ha-9713402736,en->ha,health,Do not give this medicine to a child under five years old.,Kada ka ba da wannan magani a cikin mutane da suka wuce da shekaru 5.,,,,,,,,,,
12,en2ha-4b6d9c5eed,en->ha,conversation,How are you doing this evening?,Yaya za ku yi aiki a yau?,,,,,,,,,,
13,ha2en-423e36adf0,ha->en,health,Kada ka ba da wannan magani a cikin mutane da suka wuce da shekaru 5.,Do not give this treatment to people over 5 years of age.,,,,,,,,,,
14,en2ha-33008a690d,en->ha,entity,My name is Zoe and I work in Lagos.,My name is Zoe kuma na aiki a Lagos.,,,,,,,,,,
15,ha2en-ada8637c10,ha->en,phone,Kira da ni a kan 08031234567 a lokacin da ka zo.,Call me on 08031234567 when you arrive.,,,,,,,,,,
16,en2ha-f65774c7e3,en->ha,negation,I did not say that I would not come.,Na ba ya ce cewa ba za a yi.,,,,,,,,,,
17,ha2en-176bfeb912,ha->en,negation,Kada ka ba da kudi a yanzu.,Do not give money now.,,,,,,,,,,
18,en2ha-975f84b293,en->ha,broadcast,"Good morning everyone, and welcome to this broadcast.","Sai ya wãyi gari a cikin birnin yanã mai tsõro, yanã sauna.",,,,,,,,,,
19,en2ha-0736925102,en->ha,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Thanks for your message. Na kwatanta da kaya da kayayyakin za a samu a ranar Almasihu. Don Allah tabbatar da wani mutum a cikin masana'antu don samun su, kuma kira ni idan akwai wani matsaloli tare da samfurin.",,,,,,,,,,
20,ha2en-c97c91dffa,ha->en,entity,My name is Zoe kuma na aiki a Lagos.,My name is Zoe and I work in Lagos.,,,,,,,,,,
21,ha2en-736d39d815,ha->en,money,"Yadda za a sauke 45,000 naira a kan asusunku a yau.","How to download 45,000 units on your account today.",,,,,,,,,,
22,en2ha-f6389e051f,en->ha,otp,Your verification code is 483920. Do not share it.,Ka kafa tsarin da za ka bi don ka yi amfani da shi a matsayin wanda kake son ka yi amfani da shi.,,,,,,,,,,
23,en2ha-f5cf3e80e0,en->ha,datetime,The meeting has been moved to 15 March at 4:30.,Yanar gizo ya saita zuwa 15 Maris a 4:30.,,,,,,,,,,
24,ha2en-deed5fd3ae,ha->en,conversation,Yaya za ku yi aiki a yau?,How will you work today?,,,,,,,,,,
25,ha2en-2b2d64f0a4,ha->en,money,The price is two thousand naira a kowace tas.,The price is two thousand yen per bag.,,,,,,,,,,
26,en2ha-da420a5c6e,en->ha,money,The price is two thousand naira per bag.,"To, abin da yake misãlinsa, kamar falalen dũtse ne, a kansa akwai turɓãya, sai wãbilin hadari ya sãme shi, sai ya bar shi ƙanƙara.",,,,,,,,,,
27,en2ha-da420a5c6e,en->ha,money,The price is two thousand naira per bag.,The price is two thousand naira a kowace tas.,,,,,,,,,,
28,ha2en-e8cd30c5e0,ha->en,conversation,Ta yaya kake yin wannan yamma?,How are you doing this evening?,,,,,,,,,,
29,ha2en-852656af03,ha->en,phone,Ka yi mini kira a kan shekara ta fiye da haka sa'ad da ka isa wurin.,Ask me over the next year when you arrive there.,,,,,,,,,,
30,ha2en-29d591f850,ha->en,negation,Ban ce ba zan zo ba.,I didn't say I would come.,,,,,,,,,,
31,ha2en-c8633a240e,ha->en,account,Sauke kafin 0123456789 a First Bank.,Download before 0123456789 in First Bank.,,,,,,,,,,
32,en2ha-c4b1ce297e,en->ha,phone,Call me on 08031234567 when you arrive.,Ka yi mini kira a kan shekara ta fiye da haka sa'ad da ka isa wurin.,,,,,,,,,,
