item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
1,en2ig-e325f732cb,en->ig,phone,Call me on 08031234567 when you arrive.,Kpọọ m na 08031234567 mgbe ị na-abịa.,,,,,,,,,,
2,en2ig-37b3b74f61,en->ig,broadcast,"Good morning everyone, and welcome to this broadcast.","Good morning everyone, and welcome to this broadcast.",,,,,,,,,,
3,en2ig-7b2a4cf6d8,en->ig,negation,I did not say that I would not come.,Agaghị m asị na m ga-abịa.,,,,,,,,,,
4,en2ig-4f74e365cb,en->ig,otp,Your verification code is 483920. Do not share it.,Usoro nchịkọta gị bụ 483920.,,,,,,,,,,
5,en2ig-bd364bb3b1,en->ig,money,The price is two thousand naira per bag.,Ọnụahịa ya bụ naira iri abụọ kwa akpa.,,,,,,,,,,
6,en2ig-59f9f626be,en->ig,money,"Please send 45,000 naira to my account today.","Lelee 45,000 naira ka m akaụntụ taa.",,,,,,,,,,
7,en2ig-bd364bb3b1,en->ig,money,The price is two thousand naira per bag.,"Ọnụahịa bụ 2,000 naira kwa akpa.",,,,,,,,,,
8,en2ig-1d7dd44c13,en->ig,account,Transfer to account 0123456789 at First Bank.,Zigara akaụntụ 0123456789 na First Bank.,,,,,,,,,,
9,en2ig-d5a0e11861,en->ig,entity,My name is Zoe and I work in Lagos.,Aha m bụ Zoe ma m na-arụ ọrụ na Lagos.,,,,,,,,,,
10,en2ig-4f74e365cb,en->ig,otp,Your verification code is 483920. Do not share it.,Kóòdù nkwenye gị bụ 483920. Enweghị ike ịkekọrịta ya.,,,,,,,,,,
11,en2ig-56f3fcf2dd,en->ig,negation,Do not send the payment yet.,Ọ bụrụ na ị na-enweghị ịkwụ ụgwọ.,,,,,,,,,,
12,en2ig-a0a4a5bcb2,en->ig,conversation,How are you doing this evening?,Olee otú ị si arụ ọrụ abalị a?,,,,,,,,,,
13,en2ig-1d7dd44c13,en->ig,account,Transfer to account 0123456789 at First Bank.,Ịkwụ ụgwọ akaụntụ 0123456789 na First Bank.,,,,,,,,,,
14,en2ig-782a9275f2,en->ig,multi,I am on my way. Please wait for me at the gate. I will be there soon.,M na-aga n'ụzọ m. Biko na-echere m n'okporo ụzọ. M ga-aga ebe ahụ n'oge na-adịghị anya.,,,,,,,,,,
15,en2ig-a0a4a5bcb2,en->ig,conversation,How are you doing this evening?,Olee otú ị na-arụ ọrụ n'oge a?,,,,,,,,,,
16,en2ig-d5a0e11861,en->ig,entity,My name is Zoe and I work in Lagos.,M na-akpọ Zoe na m na-arụ ọrụ na Lagos.,,,,,,,,,,
17,en2ig-c75594d68a,en->ig,health,Do not give this medicine to a child under five years old.,Ọ dịghị na-enye ọgwụ a n'ime ụmụaka nta 5 afọ.,,,,,,,,,,
18,en2ig-37b3b74f61,en->ig,broadcast,"Good morning everyone, and welcome to this broadcast.","Good morning niile, na-atụ anya na a broadcast.",,,,,,,,,,
19,en2ig-56f3fcf2dd,en->ig,negation,Do not send the payment yet.,Enweghị ike iziga ụgwọ ahụ.,,,,,,,,,,
20,en2ig-782a9275f2,en->ig,multi,I am on my way. Please wait for me at the gate. I will be there soon.,M na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ.,,,,,,,,,,
21,en2ig-e325f732cb,en->ig,phone,Call me on 08031234567 when you arrive.,Kpọtụrụ m na 08031234567 mgbe ị na-abịa.,,,,,,,,,,
22,en2ig-24d02cbfc3,en->ig,money,I have not received the money you sent.,Anaghị m enweta ego i zigara m.,,,,,,,,,,
23,en2ig-c75594d68a,en->ig,health,Do not give this medicine to a child under five years old.,Enweghị ike ịnye ọgwụ a n'okpuru afọ ise.,,,,,,,,,,
24,en2ig-24d02cbfc3,en->ig,money,I have not received the money you sent.,Ọ bụ ezie na m na-enweta ego ị na-enweta.,,,,,,,,,,
25,en2ig-33489d6292,en->ig,datetime,The meeting has been moved to 15 March at 4:30.,Mgbakọ ahụ gbanwere gaa na 15 March na 4:30.,,,,,,,,,,
26,en2ig-49876fdb23,en->ig,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Thank you for your message. I am talking to the supplier and the goods will arrive on Friday morning. Ka ọ bụrụ na onye ọ bụla bụ na ụlọ ahịa na-enweta ha, na-akpọ m ma ọ bụrụ na e nwere ihe ọ bụla nsogbu na nnyefe.",,,,,,,,,,
27,en2ig-7b2a4cf6d8,en->ig,negation,I did not say that I would not come.,Ọ bụ ezie na m ga-abụghị.,,,,,,,,,,
28,en2ig-59f9f626be,en->ig,money,"Please send 45,000 naira to my account today.","Biko zigara naira 45,000 na akaụntụ m taa.",,,,,,,,,,
29,en2ig-49876fdb23,en->ig,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure someone is at the shop to receive them, and call me if there is any problem with the delivery.",,,,,,,,,,
30,en2ig-33489d6292,en->ig,datetime,The meeting has been moved to 15 March at 4:30.,Nyocha a na-agba ọsọ na 15 March na 4:30.,,,,,,,,,,
