item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
1,ig2en-fe74abc03e,ig->en,money,"Lelee 45,000 naira ka m akaụntụ taa.","Check out 45,000 revenue to my account today.",,,,,,,,,,
2,ig2en-69d7f6a4e0,ig->en,multi,Anyị ga - akwụsị ịbịa ọmụmụ ihe ahụ n'ihi na anyị ga - ezute echi.,We will stop attending that meeting because we will meet tomorrow.,,,,,,,,,,
3,en2ig-5ca0410f16,en->ig,money,"Your balance is 12,500 naira.","Ọnọdụ gị bụ 12,500 naira.",,,,,,,,,,
4,ig2en-5bd6cc649d,ig->en,money,Enwetawo m ego ahụ i zigara m.,I have received the money you sent me.,,,,,,,,,,
5,en2ig-bf253a2628,en->ig,agriculture,"The rains will start next month, so prepare the land now.","Mmiri ozuzo ahụ ga - amalite n'ọnwa sochirinụ, ya mere kwadebe ala ahụ ugbu a.",,,,,,,,,,
6,ig2en-c29321595b,ig->en,emoji-only,Nnyemaka ngwaọrụ,PUBLISHERS,,,,,,,,,,
7,en2ig-3e0b945ac9,en->ig,number-only,45000,45000 nkeji,,,,,,,,,,
8,ig2en-6feba426f3,ig->en,health,Tinye otu tablet abụọ kwa ụbọchị mgbe nri.,Add one tablet two daily after meals.,,,,,,,,,,
9,en2ig-1cdc989f72,en->ig,mixed,Abeg send the money before 5pm 🙏,Abeg na-enye ego tupu 5pm 🙏,,,,,,,,,,
10,ig2en-f1124829f7,ig->en,conversation,Biko ziganụ m adres ahụ tupu unu alaa.,Please send me the address before you leave.,,,,,,,,,,
11,en2ig-33489d6292,en->ig,datetime,The meeting has been moved to 15 March at 4:30.,Nyocha a na-agba ọsọ na 15 March na 4:30.,,,,,,,,,,
12,ig2en-2dd91f2ad4,ig->en,money,"Otú i si ele ihe anya dị puku iri na abụọ, narị ise na iri ise.","Your attitude is limited to 125,000.",,,,,,,,,,
13,en2ig-7f445167b7,en->ig,entity,Adebayo travelled from Abeokuta to Kano last night.,"Ọ bụ n'abalị bọtara ụbọchị e mere ya, ya esi n'obodo Abekara gawa n'ebe a na - ere ihe ndị mgbe ochie a na - ere ihe ndị e ji esi nri.",,,,,,,,,,
14,en2ig-d5a0e11861,en->ig,entity,My name is Zoe and I work in Lagos.,M na-akpọ Zoe na m na-arụ ọrụ na Lagos.,,,,,,,,,,
15,en2ig-d5a0e11861,en->ig,entity,My name is Zoe and I work in Lagos.,"Aha m bụ Christianse, mụnwa na - arụkwa ọrụ na Lagos.",,,,,,,,,,
16,ig2en-84f306d5c4,ig->en,multi,"Biko, chere m n'ọnụ ụzọ ámá: m ga - anọ n'ebe ahụ n'isi nso.",Please wait at the gate: I'll be there soon.,,,,,,,,,,
17,ig2en-f5a9dd1502,ig->en,code-only,Kèánáhụ́chāghị́ányá,%l:%M %p (%A),,,,,,,,,,
18,ig2en-f411f17171,ig->en,account,Ịkwụ ụgwọ akaụntụ 0123456789 na First Bank.,Payment account 0123456789 at First Bank.,,,,,,,,,,
19,en2ig-fd0df57c1a,en->ig,datetime,The event starts at four thirty on the fifteenth of March.,Ihe omume ahụ malitere n'abalị iri atọ n'ọnwa Mach.,,,,,,,,,,
20,ig2en-a0841be92a,ig->en,conversation,Kpọtụrụ anyị na adreesị gị tupu ịgbanwe.,Contact us with your address before changing.,,,,,,,,,,
