C7 Igbo source messages — please read the permission below
"By submitting these messages and English meanings, I confirm they are my original writing and grant C7 / Tech Advance Concept a perpetual, worldwide, irrevocable, royalty-free licence to use, reproduce, modify, evaluate, publish internally, and use them for training, testing, benchmarking and improving translation systems and related C7 services."
I agree (type YES here):,
"Your name (for attribution, optional):",

item,what this one is for,your message in Igbo,what it means in English
1,"A price or an amount — what something costs, or what is owed",,
2,Confirming you HAVE received a payment,,
3,Saying you have NOT received a payment. Use your normal way of saying 'not' — this exact shape has already broken two engines,,
4,"Asking someone to send money, with the amount",,
5,A message containing a phone number,,
6,A message containing an account number or a code (like an OTP),,
7,Arranging a meeting — with a day and a time,,
8,Telling someone a plan has changed to a different day or time,,
9,"Saying you are running late, with how long",,
10,Telling someone to do something,,
11,"Telling someone NOT to do something, or a warning",,
12,Asking someone to bring or collect something,,
13,A greeting — how you would really open a message,,
14,A question to a friend or family member,,
15,"A message that MIXES English with your language, if that is how you normally write. Leave blank if that is not natural for you",,
