item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
1,ig2en-a699296234,ig->en,otp,"Ihe ị ga - eme bụ nke ị na - agaghị echefu echefu, ya bụ, nke fọrọ nke nta ka o ruo otu narị na iri anọ na asatọ.","You can do something that you will never forget, that is, nearly 180.",,,,,,,,,,
2,ig2en-84f306d5c4,ig->en,multi,"Biko, chere m n'ọnụ ụzọ ámá: m ga - anọ n'ebe ahụ n'isi nso.",Please wait at the gate: I'll be there soon.,,,,,,,,,,
3,en2ig-24d02cbfc3,en->ig,money,I have not received the money you sent.,E nyeghị m ego ahụ i zitere m.,,,,,,,,,,
4,ig2en-f5e9aa6875,ig->en,health,Enyela nwatakịrị na - erubeghị afọ ise ọgwụ a.,Don't give this medication to a child under five years of age.,,,,,,,,,,
5,ig2en-36101fe198,ig->en,money,Ọnụ ego ya bụ puku dollar abụọ n'ime akpa ọ bụla.,"The price was 2,000 dollars per bag.",,,,,,,,,,
6,en2ig-59f9f626be,en->ig,money,"Please send 45,000 naira to my account today.","Biko ziga mmadụ 45,000 n'ihe ndekọ m taa.",,,,,,,,,,
7,en2ig-1d7dd44c13,en->ig,account,Transfer to account 0123456789 at First Bank.,Ịkwụ ụgwọ akaụntụ 0123456789 na First Bank.,,,,,,,,,,
8,ig2en-3fd9f5d532,ig->en,datetime,Ọ bụ n'abalị iri na ise n'ọnwa Mach ka e mere ka ọmụmụ ihe ahụ gaa n'abalị iri na ise n'ọnwa Mach.,"It was March 15, that the meeting was held on March 15.",,,,,,,,,,
9,en2ig-24d02cbfc3,en->ig,money,I have not received the money you sent.,Ọ bụ ezie na m na-enweta ego ị na-enweta.,,,,,,,,,,
10,ig2en-6687868f95,ig->en,entity,"Aha m bụ Christianse, mụnwa na - arụkwa ọrụ na Lagos.","My name was Christianse, and I worked in Lagos.",,,,,,,,,,
11,en2ig-c75594d68a,en->ig,health,Do not give this medicine to a child under five years old.,Ọ dịghị na-enye ọgwụ a n'ime ụmụaka nta 5 afọ.,,,,,,,,,,
12,en2ig-a0a4a5bcb2,en->ig,conversation,How are you doing this evening?,Olee otú ị na-arụ ọrụ n'oge a?,,,,,,,,,,
13,ig2en-68257d00c6,ig->en,health,Ọ dịghị na-enye ọgwụ a n'ime ụmụaka nta 5 afọ.,Do not give this medication to children under 5 years.,,,,,,,,,,
14,en2ig-d5a0e11861,en->ig,entity,My name is Zoe and I work in Lagos.,M na-akpọ Zoe na m na-arụ ọrụ na Lagos.,,,,,,,,,,
15,ig2en-57aff266da,ig->en,phone,Kpọọ m na 08031234567 mgbe ị na-abịa.,Call me at 08031234567 when you arrive.,,,,,,,,,,
16,en2ig-7b2a4cf6d8,en->ig,negation,I did not say that I would not come.,Ọ bụ ezie na m ga-abụghị.,,,,,,,,,,
17,ig2en-11c3c2a4b2,ig->en,negation,Ọ bụrụ na ị na-enweghị ịkwụ ụgwọ.,If you do not pay.,,,,,,,,,,
18,en2ig-37b3b74f61,en->ig,broadcast,"Good morning everyone, and welcome to this broadcast.","N'ụtụtụ, onye ọ bụla na - ege ntị n'ozi ọma a, na - anabatakwa ya.",,,,,,,,,,
19,en2ig-49876fdb23,en->ig,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Thank you for your message. I am talking to the supplier and the goods will arrive on Friday morning. Ka ọ bụrụ na onye ọ bụla bụ na ụlọ ahịa na-enweta ha, na-akpọ m ma ọ bụrụ na e nwere ihe ọ bụla nsogbu na nnyefe.",,,,,,,,,,
20,ig2en-13a4a68834,ig->en,entity,M na-akpọ Zoe na m na-arụ ọrụ na Lagos.,I call Zoe and I work in Lagos.,,,,,,,,,,
21,ig2en-fe74abc03e,ig->en,money,"Lelee 45,000 naira ka m akaụntụ taa.","Check out 45,000 revenue to my account today.",,,,,,,,,,
22,en2ig-4f74e365cb,en->ig,otp,Your verification code is 483920. Do not share it.,"Ihe ị ga - eme bụ nke ị na - agaghị echefu echefu, ya bụ, nke fọrọ nke nta ka o ruo otu narị na iri anọ na asatọ.",,,,,,,,,,
23,en2ig-33489d6292,en->ig,datetime,The meeting has been moved to 15 March at 4:30.,Nyocha a na-agba ọsọ na 15 March na 4:30.,,,,,,,,,,
24,ig2en-e0fcbfc55a,ig->en,conversation,Olee otú ị na-arụ ọrụ n'oge a?,How do you work during this time?,,,,,,,,,,
25,ig2en-cb79052ee0,ig->en,money,"Ọnụahịa bụ 2,000 naira kwa akpa.","Price is 2,000 rupees per bag.",,,,,,,,,,
26,en2ig-bd364bb3b1,en->ig,money,The price is two thousand naira per bag.,Ọnụ ego ya bụ puku dollar abụọ n'ime akpa ọ bụla.,,,,,,,,,,
27,en2ig-bd364bb3b1,en->ig,money,The price is two thousand naira per bag.,"Ọnụahịa bụ 2,000 naira kwa akpa.",,,,,,,,,,
28,ig2en-566772181f,ig->en,conversation,Olee otú i si eme ná mgbede a?,How are you doing this evening?,,,,,,,,,,
29,ig2en-b5906baae0,ig->en,phone,"Mgbe ị rutere, kpọọ m na 0312 (onye dị otu narị puku na puku iri anọ na puku isii).","When you arrive, call me in 003 (U.S.).",,,,,,,,,,
